,Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths,cases_per_100k,id
19,3/6/2020,IDN,Indonesia,2,0,0,2,4,0,0,4,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.02,0.0,0.0,0.00%,0.00%,,1.0,0.0002,0
20,3/6/2020,ID-JB,Jawa Barat,1,0,0,1,16,6,14,-4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.35,0.0,0.13,37.50%,87.50%,1.0,1.0,0.0034999999999999996,9
21,3/6/2020,ID-RI,Riau,0,0,0,0,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.0,0.33,0.0,0.16,50.00%,100.00%,1.0,1.0,0.0033,26
22,3/7/2020,ID-BT,Banten,0,0,0,0,59,1,0,58,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.10900430000001,-6.4567363879999995,0.0,5.5,0.0,0.09,1.69%,0.00%,0.0,1.0,0.055,3
23,3/7/2020,ID-JK,Dki Jakarta,0,2,0,-2,495,23,73,399,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.0,45.64,0.18,2.12,4.65%,14.75%,1.0,,0.45640000000000003,6
24,3/7/2020,IDN,Indonesia,0,0,0,0,4,0,0,4,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.0,0.02,0.0,0.0,0.00%,0.00%,0.0,1.0,0.0002,0
25,3/7/2020,ID-JB,Jawa Barat,0,0,0,0,16,6,14,-4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.0,0.35,0.0,0.13,37.50%,87.50%,0.0,1.0,0.0034999999999999996,9
26,3/7/2020,ID-RI,Riau,0,0,0,0,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.0,0.33,0.0,0.16,50.00%,100.00%,1.0,1.0,0.0033,26
27,3/8/2020,ID-BT,Banten,1,0,0,1,60,1,0,59,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.10900430000001,-6.4567363879999995,0.09,5.6,0.0,0.09,1.67%,0.00%,,1.0,0.055999999999999994,3
28,3/8/2020,ID-JK,Dki Jakarta,0,0,0,0,495,23,73,399,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.0,45.64,0.0,2.12,4.65%,14.75%,1.0,0.0,0.45640000000000003,6
29,3/8/2020,IDN,Indonesia,2,0,0,2,6,0,0,6,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.02,0.0,0.0,0.00%,0.00%,,1.0,0.0002,0
30,3/8/2020,ID-JB,Jawa Barat,0,0,0,0,16,6,14,-4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.0,0.35,0.0,0.13,37.50%,87.50%,1.0,1.0,0.0034999999999999996,9
31,3/8/2020,ID-RI,Riau,0,0,0,0,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.0,0.33,0.0,0.16,50.00%,100.00%,1.0,1.0,0.0033,26
32,3/9/2020,ID-BT,Banten,0,0,0,0,60,1,0,59,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.10900430000001,-6.4567363879999995,0.0,5.6,0.0,0.09,1.67%,0.00%,0.0,1.0,0.055999999999999994,3
33,3/9/2020,ID-JK,Dki Jakarta,0,1,0,-1,495,24,73,398,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.0,45.64,0.09,2.21,4.85%,14.75%,1.0,,0.45640000000000003,6
34,3/9/2020,IDN,Indonesia,13,0,0,13,19,0,0,19,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.05,0.07,0.0,0.0,0.00%,0.00%,6.5,1.0,0.0007000000000000001,0
35,3/9/2020,ID-JB,Jawa Barat,0,0,0,0,16,6,14,-4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.0,0.35,0.0,0.13,37.50%,87.50%,1.0,1.0,0.0034999999999999996,9
36,3/9/2020,ID-RI,Riau,0,0,0,0,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.0,0.33,0.0,0.16,50.00%,100.00%,1.0,1.0,0.0033,26
37,3/10/2020,ID-BT,Banten,0,0,0,0,60,1,0,59,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.10900430000001,-6.4567363879999995,0.0,5.6,0.0,0.09,1.67%,0.00%,1.0,1.0,0.055999999999999994,3
38,3/10/2020,ID-JK,Dki Jakarta,0,0,0,0,495,24,73,398,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.0,45.64,0.0,2.21,4.85%,14.75%,1.0,0.0,0.45640000000000003,6
39,3/10/2020,IDN,Indonesia,8,0,2,6,27,0,2,25,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.03,0.1,0.0,0.0,0.00%,7.41%,0.62,1.0,0.001,0
40,3/10/2020,ID-JB,Jawa Barat,0,0,0,0,16,6,14,-4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.0,0.35,0.0,0.13,37.50%,87.50%,1.0,1.0,0.0034999999999999996,9
41,3/10/2020,ID-RI,Riau,0,0,0,0,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.0,0.33,0.0,0.16,50.00%,100.00%,1.0,1.0,0.0033,26
42,3/10/2020,ID-SG,Sulawesi Tenggara,1,0,0,1,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2.0,219,377.0,1911.0,38068,2635461,69.23,122.070311,-4.124688793,0.38,0.38,0.0,0.0,0.00%,0.00%,,,0.0038,30
43,3/11/2020,ID-BT,Banten,0,0,0,0,60,1,0,59,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.10900430000001,-6.4567363879999995,0.0,5.6,0.0,0.09,1.67%,0.00%,1.0,1.0,0.055999999999999994,3
44,3/11/2020,ID-JK,Dki Jakarta,0,0,0,0,495,24,73,398,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.0,45.64,0.0,2.21,4.85%,14.75%,1.0,1.0,0.45640000000000003,6
45,3/11/2020,IDN,Indonesia,7,1,0,6,34,1,2,31,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.03,0.13,0.0,0.0,2.94%,5.88%,0.88,,0.0013,0
46,3/11/2020,ID-JB,Jawa Barat,0,1,0,-1,16,7,14,-5,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.0,0.35,0.02,0.15,43.75%,87.50%,1.0,,0.0034999999999999996,9
47,3/11/2020,ID-RI,Riau,0,0,0,0,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.0,0.33,0.0,0.16,50.00%,100.00%,1.0,1.0,0.0033,26
48,3/11/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2.0,219,377.0,1911.0,38068,2635461,69.23,122.070311,-4.124688793,0.0,0.38,0.0,0.0,0.00%,0.00%,0.0,1.0,0.0038,30
49,3/12/2020,ID-BT,Banten,0,1,0,-1,60,2,0,58,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.10900430000001,-6.4567363879999995,0.0,5.6,0.09,0.19,3.33%,0.00%,1.0,,0.055999999999999994,3
50,3/12/2020,ID-JK,Dki Jakarta,0,1,4,-5,495,25,77,393,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.0,45.64,0.09,2.3,5.05%,15.56%,1.0,,0.45640000000000003,6
51,3/12/2020,IDN,Indonesia,0,0,0,0,34,1,2,31,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.0,0.13,0.0,0.0,2.94%,5.88%,0.0,0.0,0.0013,0
52,3/12/2020,ID-JB,Jawa Barat,1,0,0,1,17,7,14,-4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.38,0.0,0.15,41.18%,82.35%,,0.0,0.0038,9
53,3/12/2020,ID-RI,Riau,0,0,0,0,2,1,2,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,0.0,0.33,0.0,0.16,50.00%,100.00%,1.0,1.0,0.0033,26
54,3/12/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2.0,219,377.0,1911.0,38068,2635461,69.23,122.070311,-4.124688793,0.0,0.38,0.0,0.0,0.00%,0.00%,1.0,1.0,0.0038,30
55,3/13/2020,ID-BT,Banten,1,0,0,1,61,2,0,59,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.10900430000001,-6.4567363879999995,0.09,5.69,0.0,0.19,3.28%,0.00%,,0.0,0.056900000000000006,3
56,3/13/2020,ID-JK,Dki Jakarta,0,1,3,-4,495,26,80,389,Province,,Dki Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,0.0,45.64,0.09,2.4,5.25%,16.16%,1.0,1.0,0.45640000000000003,6
57,3/13/2020,IDN,Indonesia,35,3,0,32,69,4,2,63,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.13,0.26,0.01,0.02,5.80%,2.90%,,,0.0026,0
58,3/13/2020,ID-JB,Jawa Barat,4,0,4,0,21,7,18,-4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,0.09,0.46,0.0,0.15,33.33%,85.71%,4.0,1.0,0.0046,9
