,0,1,2,3,4,5,6,7,8,9,10,11
0,1,JEMBRANA,0,26,0,11,5,608,0,0,5,645
1,2,TABANAN,0,21,0,8,148,1407,0,0,148,1436
2,3,BADUNG,0,27,-3,4,23,2436,0,0,20,2467
3,4,DENPASAR,0,48,0,22,32,3846,0,0,32,3916
4,5,GIANYAR,0,29,0,10,16,1923,0,0,16,1962
5,6,BANGLI,0,58,0,3,2,824,0,0,2,885
6,7,KLUNGKUNG,0,19,0,0,0,925,0,0,0,944
7,8,KARANGASEM,0,23,0,0,1,1003,0,0,1,1026
8,9,BULELENG,0,41,0,6,6,1159,0,0,6,1206
9,10,KABUPATEN LAINNYA,0,5,0,31,0,13,0,0,0,49
10,11,WARGA NEGARA ASING,0,8,0,2,0,22,0,0,0,32
